# rows = seed1 [700..800], cols = seed2 [700..800], values = prime hits in first 'window' terms
0,11,0,7,0,0,0,0,0,16,0,11,0,18,0,0,0,5,0,7,0,0,0,10,0,0,0,22,0,11,0,8,0,18,0,0,0,6,0,12,0,16,0,8,0,0,0,8,0,0,0,10,0,11,0,0,0,13,0,21,0,8,0,0,0,0,0,12,0,11,0,10,0,10,0,0,0,0,0,9,0,8,0,12,0,0,0,15,0,10,0,0,0,7,0,0,0,10,0,10,0
11,2,11,9,15,14,16,5,17,11,18,16,12,17,15,8,9,11,21,13,9,12,11,17,7,9,18,19,23,15,11,6,7,15,11,14,18,8,18,15,6,10,13,20,10,16,5,25,23,14,15,7,11,12,7,5,13,21,26,14,15,14,8,19,13,12,8,11,26,21,19,18,10,19,17,13,11,18,6,5,12,5,14,15,11,9,8,9,22,17,28,12,6,13,7,11,12,11,21,6,11
0,12,0,11,0,0,0,16,0,9,0,0,0,7,0,0,0,0,0,8,0,15,0,0,0,4,0,12,0,0,0,10,0,8,0,0,0,10,0,20,0,0,0,12,0,7,0,0,0,12,0,23,0,0,0,10,0,21,0,0,0,15,0,10,0,0,0,0,0,13,0,0,0,14,0,9,0,0,0,11,0,12,0,0,0,15,0,12,0,0,0,4,0,0,0,0,0,14,0,10,0
4,14,7,0,20,11,11,23,9,15,11,9,10,15,17,9,18,10,7,23,10,10,0,14,10,14,8,14,7,23,11,7,13,14,17,12,9,14,12,14,0,0,11,6,17,15,15,8,18,13,12,12,8,13,10,9,9,13,16,11,0,8,11,15,13,12,16,12,10,10,10,8,19,6,10,7,11,0,14,0,7,9,13,11,15,13,5,14,7,10,7,8,8,9,13,6,12,10,0,10,10
0,7,0,15,0,12,0,10,0,8,0,9,0,15,0,0,0,11,0,10,0,14,0,15,0,13,0,18,0,7,0,9,0,18,0,13,0,0,0,9,0,9,0,16,0,14,0,18,0,8,0,14,0,10,0,12,0,16,0,0,0,15,0,17,0,9,0,22,0,14,0,13,0,18,0,10,0,16,0,6,0,0,0,11,0,12,0,20,0,10,0,11,0,16,0,10,0,10,0,12,0
0,16,0,13,15,0,11,7,0,10,0,0,13,12,0,0,8,0,11,17,0,10,5,0,17,0,0,13,15,0,0,5,0,12,14,0,12,6,0,11,0,0,10,13,0,0,8,0,18,11,0,13,0,0,11,0,0,5,15,0,0,5,0,8,5,0,6,20,0,14,0,0,14,10,0,0,14,0,20,11,0,13,20,0,14,0,0,6,14,0,0,13,0,7,15,0,13,13,0,0,0
0,18,0,16,0,15,0,11,0,9,0,6,0,15,0,7,0,21,0,14,0,12,0,15,0,10,0,9,0,11,0,9,0,18,0,12,0,6,0,6,0,10,0,24,0,10,0,11,0,14,0,11,0,15,0,19,0,7,0,18,0,19,0,7,0,10,0,12,0,12,0,13,0,8,0,17,0,13,0,12,0,17,0,16,0,19,0,17,0,11,0,8,0,20,0,14,0,13,0,11,0
0,12,13,22,14,16,15,0,13,9,11,12,9,9,0,12,20,11,5,13,8,0,17,23,11,6,12,14,0,7,14,16,13,17,5,0,15,13,5,13,14,18,0,11,5,11,12,12,6,0,10,7,13,11,16,7,0,20,3,13,7,19,8,0,12,13,11,8,12,13,0,10,12,16,13,14,15,0,21,12,17,16,14,15,0,10,16,10,9,7,11,0,11,11,13,8,12,7,0,9,12
0,8,0,9,0,0,0,7,0,11,0,0,0,14,0,21,0,0,0,12,0,17,0,0,0,14,0,6,0,0,0,17,0,11,0,0,0,5,0,25,0,0,0,17,0,17,0,0,0,15,0,15,0,0,0,7,0,7,0,0,0,10,0,18,0,0,0,0,0,15,0,0,0,8,0,15,0,0,0,15,0,12,0,0,0,16,0,4,0,0,0,16,0,10,0,0,0,17,0,9,0
15,14,15,10,15,10,13,13,15,2,21,22,15,12,10,8,13,23,11,11,27,10,26,18,11,16,16,16,16,11,15,3,8,14,8,20,9,14,12,16,11,11,15,19,12,13,18,22,19,9,14,17,15,15,6,15,20,14,8,15,12,15,17,6,18,12,9,14,6,16,12,12,18,9,14,11,11,22,11,15,13,13,18,10,15,15,12,17,17,14,16,6,16,14,8,6,9,14,15,7,11
0,10,0,11,0,0,0,11,0,13,0,8,0,14,0,0,0,13,0,13,0,14,0,13,0,0,0,11,0,17,0,7,0,11,0,0,0,14,0,21,0,17,0,15,0,0,0,9,0,3,0,19,0,11,0,0,0,9,0,10,0,14,0,12,0,0,0,6,0,13,0,9,0,22,0,0,0,17,0,10,0,0,0,16,0,0,0,9,0,14,0,11,0,5,0,0,0,11,0,10,0
